gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Gm18717	chr3	63030825	63320596	-0.275629	2	16.7351	0.984747	2.91701	3
Iqcj	chr3	63030825	64854454	-0.249664	2	17.4048	0.984747	3.9132	4
Iqschfp	chr3	63030825	64854454	-0.249664	2	17.4048	0.984747	3.9132	4
Sis	chr3	68132286	68230234	0.24444	3	17.9614	0.732542	2.95962	3
Fstl5	chr3	71566878	71919756	0.245359	3	18.257	0.933266	3.87451	4
Kirrel	chr3	82092620	82222466	1.01069	5	45.217	0.0953246	2.67159	3
Hdgf	chr3	82799842	83295840	-0.528759	2	16.0212	0.556349	2.6142	3
Mrpl24	chr3	82799842	83295840	-0.528759	2	16.0212	0.556349	2.6142	3
Rrnad1	chr3	82799842	83295840	-0.528759	2	16.0212	0.556349	2.6142	3
Isg20l2	chr3	82799842	83295840	-0.528759	2	16.0212	0.556349	2.6142	3
Gon4l	chr3	83758586	84100079	-0.505338	1	14.5652	0.838799	4.27322	5
Ash1l	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Gm43738	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Rusc1	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Fdps	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Gm22935	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Gm29704	chr3	84006491	84150042	-0.206091	1	19.289	0.35743	2.97783	3
Pklr	chr3	84006491	85768731	-0.236837	1	18.5301	0.35743	4.94629	5
Hcn3	chr3	84106382	85768731	-0.25344	2	18.1121	0.84792	2.96087	3
Clk2	chr3	84106382	85768731	-0.25344	2	18.1121	0.84792	2.96087	3
Scamp3	chr3	84106382	85768731	-0.25344	2	18.1121	0.84792	2.96087	3
Gm16069	chr3	84106382	85768731	-0.25344	2	18.1121	0.84792	2.96087	3
Fam189b	chr3	84106382	85768731	-0.25344	2	18.1121	0.84792	2.96087	3
Them4	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm43743	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Them5	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm36070	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
C2cd4d	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm38411	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Rorc	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm43401	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Lingo4	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
1700040D17Rik	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Tdrkh	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm42463	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm42464	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Oaz3	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Mrpl9	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Gm30023	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Riiad1	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Celf3	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Snx27	chr3	89338897	89688940	-0.25008	2	17.9894	0.454316	2.93267	3
Selenbp2	chr3	89802099	90252308	-0.498178	1	13.5433	0.834393	6.80963	8
Pde4dip	chr3	92558446	93377023	-0.261762	2	18.483	0.826801	6.80797	7
Phgdh	chr3	93377033	93547566	-0.205172	2	19.1063	0.913475	3.96487	4
Zfp697	chr3	93453663	93548321	-0.376572	2	16.5986	0.6701	3.69412	4
Magi3	chr3	99239916	100319223	0.348996	3	27.9928	0.851338	2.82387	3
Gm42699	chr3	99239916	100319223	0.348996	3	27.9928	0.851338	2.82387	3
Henmt1	chr3	104077641	104173093	-0.314166	2	16.0768	0.993792	2.8202	3
Fam102b	chr3	104077641	104173093	-0.314166	2	16.0768	0.993792	2.8202	3
Gm43221	chr3	104077641	104173093	-0.314166	2	16.0768	0.993792	2.8202	3
6530403H02Rik	chr3	115433303	115769487	-0.292045	2	20.5955	0.973268	2.77669	3
Tlcd4	chr3	116063546	116679093	-0.336823	1	24.6047	0.705522	2.91888	3
Gm9353	chr3	116063546	116679093	-0.336823	1	24.6047	0.705522	2.91888	3
Gm30517	chr3	116063546	116679093	-0.336823	1	24.6047	0.705522	2.91888	3
Gm43254	chr3	128052185	128205124	-0.208648	2	18.7395	0.760269	2.97245	3
Ppa2	chr3	128052185	128205124	-0.208648	2	18.7395	0.760269	2.97245	3
Gm2142	chr3	129796911	129847321	-0.219221	2	17.1176	0.949567	2.95499	3
MGP_FVBNJ_G0008627	chr3	129796911	129847321	-0.219221	2	17.1176	0.949567	2.95499	3
Clca4c-ps	chr3	139554772	140026867	0.425128	4	31.096	0.472313	2.80572	3
Tmem67	chr4	8281109	8375056	-0.519575	1	17.0964	0.247484	2.28869	3
Cibar1	chr4	8404273	8574571	0.266356	3	26.5407	0.767496	4.73938	5
Fbxl4	chr4	18357335	18641143	-0.287052	2	21.5408	0.97103	2.91223	3
Gm24607	chr4	18357335	18641143	-0.287052	2	21.5408	0.97103	2.91223	3
Gm37900	chr4	18357335	18641143	-0.287052	2	21.5408	0.97103	2.91223	3
Gm11884	chr4	19241965	21225454	0.317604	2	23.8446	0.983948	2.68783	3
Trim14	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Gm16731	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Coro2a	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Tbc1d2	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Gabbr2	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Gm568	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Anks6	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Gm12425	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Galnt12	chr4	42332014	45140374	-0.278448	2	23.6711	0.969079	2.84741	3
Gm12596	chr4	55011479	56512060	-0.456589	2	20.6508	0.863048	2.70178	3
Susd1	chr4	55011479	56512060	-0.456589	2	20.6508	0.863048	2.70178	3
Ptprd	chr4	71725831	73949178	0.463302	4	19.9624	0.960663	8.91662	10
Frem1	chr4	78469651	79131997	0.292551	3	21.8481	0.892717	2.80507	3
Dnai4	chr4	98357323	98896821	0.361871	3	20.387	0.969079	4.70445	5
Scp2	chr4	103452067	103528532	-0.236514	1	17.3321	0.40754	2.96172	3
Echdc2	chr4	103452067	103528532	-0.236514	1	17.3321	0.40754	2.96172	3
Txndc12	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
MGP_FVBNJ_G0028344	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
Kti12	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
Rab3b	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
Gm12736	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
8030443G20Rik	chr4	104120990	104899079	-0.216989	2	17.7695	0.548278	2.97229	3
Dmrta2os	chr4	105263805	105471218	-0.210456	2	18.1313	0.362765	2.98116	3
Dmrta2	chr4	105263805	105471218	-0.210456	2	18.1313	0.362765	2.98116	3
Agbl4	chr4	105899614	107355713	-0.242179	2	16.123	0.718429	14.616	15
Cyp4b1	chr4	111177731	112054401	-0.407533	1	17.0522	0.920999	2.87028	3
Zfp989	chr4	141932622	142060838	-0.492117	1	16.7257	0.965126	2.69675	3
Mfn2	chr4	144459270	146082096	-0.546137	2	19.755	0.999675	2.56793	3
Gm15734	chr5	5968175	6311775	-0.229049	1	22.6779	0.927466	2.94948	3
Sema3d	chr5	9125133	9973845	0.345938	3	26.4335	0.751741	2.86769	3
Gm8925	chr5	9125133	9973845	0.345938	3	26.4335	0.751741	2.86769	3
Mpv17	chr5	27706005	28054721	-0.28893	2	22.5035	0.715819	2.86427	3
Yes1	chr5	29320132	30077867	0.241703	3	28.6382	0.944376	2.82446	3
Poln	chr5	30710896	32324284	0.374741	2	26.6352	0.801206	3.79718	4
Gm20052	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Gm40289	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Gm43762	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Stx18	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Nsg1	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Zbtb49	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Lyar	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Tmem128	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Otop1	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Gm26560	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Drd5	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
4930487D11Rik	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Slc2a9	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Gm15796	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Wdr1	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Gm22249	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
4930421P07Rik	chr5	34674635	36295312	-0.302613	2	21.7493	0.790386	2.86864	3
Ldb2	chr5	41094641	41537749	-0.283589	2	19.3904	0.967107	3.89985	4
4932441J04Rik	chr5	54186788	54464344	-0.256834	1	19.1752	0.843514	4.91412	5
Gm43026	chr5	64743218	65045313	-0.296244	2	19.8211	0.55889	2.85734	3
Corin	chr5	68650672	69026337	-0.374581	2	19.936	0.954967	2.82286	3
Adgrl3	chr5	77690761	78826087	0.306133	3	24.4997	0.979685	5.83626	6
Tmprss11c	chr5	82612330	82833866	-0.229527	1	21.012	0.908465	2.96094	3
MGP_FVBNJ_G0037757	chr5	82612330	82833866	-0.229527	1	21.012	0.908465	2.96094	3
Tmprss11e	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Gm16579	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Gm43055	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Gm43057	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Ythdc1	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Gm21461	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Ugt2b34	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Ugt2b1	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Gm24121	chr5	83081847	83669423	-0.381167	2	19.9803	0.705455	2.39661	3
Csn1s1	chr5	84065177	84224530	0.300866	3	26.2546	0.786549	2.89377	3
Csn2	chr5	84065177	84224530	0.300866	3	26.2546	0.786549	2.89377	3
Csn1s2b	chr5	84230058	84478320	0.470609	3	25.5466	0.788673	4.62124	5
Cfap299	chr5	95005751	95562203	0.229629	1	23.9708	0.916983	2.61749	3
MGP_FVBNJ_G0029550	chr5	95812530	98853398	0.218549	2	29.3231	0.973268	3.9433	4
Gm35394	chr5	95917639	98853398	0.25206	2	30.8689	0.996162	2.94899	3
Rasgef1b	chr5	95917639	98853398	0.25206	2	30.8689	0.996162	2.94899	3
Gm35172	chr5	95917639	98853398	0.25206	2	30.8689	0.996162	2.94899	3
Gm16227	chr5	95917639	98853398	0.25206	2	30.8689	0.996162	2.94899	3
Gm42933	chr5	98851500	99936813	0.45796	3	32.9148	0.604429	2.88741	3
Gbp8	chr5	101710518	103095870	0.368648	3	33.114	0.908465	2.73695	3
MGP_FVBNJ_G0029717	chr5	111497944	111881172	-0.493949	2	15.5605	0.987354	2.75544	3
Gm13832	chr5	112443340	112843327	0.343207	3	27.7374	0.635656	2.87513	3
Taok3	chr5	113978674	114438284	-0.203479	2	21.3282	0.865246	3.93419	4
Gm43637	chr5	114265532	114438284	-0.210295	2	21.6293	0.887151	2.9427	3
MGP_FVBNJ_G0036466	chr5	114265532	114438284	-0.210295	2	21.6293	0.887151	2.9427	3
BC051077	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Gm10399	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Vsig10	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Gm15727	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Wsb2	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Rfc5	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Gm15728	chr5	114445384	114652193	-0.201667	2	21.8409	0.863048	2.96525	3
Ksr2	chr5	114445384	115732602	-0.267424	2	19.7967	0.863048	4.8381	5
MGP_FVBNJ_G0006739	chr5	120686436	121048262	0.425041	3	24.4366	0.892717	2.80981	3
Psmd9	chr5	120686436	121048262	0.425041	3	24.4366	0.892717	2.80981	3
Vps33a	chr5	121047967	122475546	0.244277	4	22.3341	0.457013	2.8682	3
Tmem132b	chr5	123133078	123343763	0.306121	4	21.1537	0.556349	2.70965	3
Clip2	chr5	130303250	133182993	-0.245156	3	38.435	0.688112	16.3005	17
Gtf2i	chr5	131565942	132050221	-0.26827	1	41.5027	5.41441e-05	2.97789	3
Gtf2ird1	chr5	131847830	132102861	-0.259557	2	41.1647	0.91838	2.96873	3
Vps50	chr6	269122	757964	-0.335621	2	20.0058	0.576759	2.8936	3
1110019D14Rik	chr6	10368581	11364043	0.297398	4	22.6126	0.44222	3.85208	4
Foxp2	chr6	11486863	12010680	0.283408	4	24.3411	0.625506	2.87295	3
Tfec	chr6	13249176	13439023	0.239271	2	28.5541	0.930031	2.95523	3
Gm15581	chr6	13648109	14545723	0.608604	4	27.1688	0.845534	3.66054	4
Gm14546	chr6	30334229	31408402	0.419652	2	26.2976	0.916983	3.68944	4
Cntnap2	chr6	41825589	45159914	0.377655	3	28.5098	0.939019	3.77675	4
Vmn1r4	chr6	53281874	53424201	-0.334238	1	26.3211	0.800117	2.89679	3
MGP_FVBNJ_G0030577	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
MGP_FVBNJ_G0030578	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Vmn1r23	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
MGP_FVBNJ_G0030580	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
MGP_FVBNJ_G0030581	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Vmn1r-ps13	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Vmn1r26	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Rps15-ps2	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Vmn1r-ps14	chr6	54234519	54745083	-0.23188	2	25.7872	0.352401	2.96143	3
Ccser1	chr6	57701454	58915423	0.456156	3	32.0317	0.933266	2.8177	3
Rpl18a-ps2	chr6	63954249	64466967	0.235328	1	24.3383	0.992945	4.49346	5
Rpl18a-ps3	chr6	64115442	64466967	0.402432	1	25.5878	0.916983	3.56937	4
Igkv8-27	chr6	66667354	67056560	0.238902	3	33.9109	0.610889	3.85822	4
Suclg2	chr6	91933658	92724237	-0.252015	1	34.4374	0.883835	2.93885	3
Chl1	chr6	99897289	100726556	0.339548	3	37.1145	0.969079	3.85992	4
Cntn4	chr6	102061326	103225179	0.350064	3	35.5814	0.922804	2.87732	3
Syn2	chr6	111377958	113158529	0.304772	3	33.7745	0.980177	2.82158	3
Klra10	chr6	126457814	127280953	0.309752	3	30.4518	0.932261	3.47568	4
Styk1	chr6	127832783	127960582	-0.332883	2	32.2672	0.616305	2.89458	3
Ybx3	chr6	127832783	127960582	-0.332883	2	32.2672	0.616305	2.89458	3
Gm22362	chr6	127832783	127960582	-0.332883	2	32.2672	0.616305	2.89458	3
Gm18688	chr6	127832783	127960582	-0.332883	2	32.2672	0.616305	2.89458	3
Gm43943	chr6	128105094	128204890	-0.215144	2	29.3348	0.866072	2.96768	3
Tas2r130	chr6	128105094	128204890	-0.215144	2	29.3348	0.866072	2.96768	3
Tas2r115	chr6	129252040	129436772	0.281531	3	37.031	0.742587	2.94424	3
Tas2r123	chr6	129402658	129533163	0.237353	3	35.2765	0.768594	2.96474	3
Tas2r116	chr6	129402658	129533163	0.237353	3	35.2765	0.768594	2.96474	3
Gm44142	chr6	129402658	129533163	0.237353	3	35.2765	0.768594	2.96474	3
Tas2r110	chr6	129402658	129533163	0.237353	3	35.2765	0.768594	2.96474	3
Tmtc1	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Gm44022	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Gm6313	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
MGP_FVBNJ_G0039116	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
4930528G23Rik	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Gm15778	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Gm44115	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Ipo8	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
2610017A05Rik	chr6	144850304	145364465	-0.330423	2	28.0084	0.920872	2.674	3
Caprin2	chr6	144850304	145402840	-0.515014	2	24.6546	0.920872	3.22665	4
Aurkc	chr7	8153746	8466752	0.360011	4	27.2585	0.908465	2.20209	3
Vmn2r54	chr7	9742449	9749826	0.220463	3	14.0517	0.996162	2.69891	3
Psg23	chr7	15777428	16213378	0.391968	4	19.0093	0.703259	5.23408	6
Ceacam20	chr7	17462620	17994468	0.444571	3	22.3396	0.991849	2.60423	3
Lypd11	chr7	22416335	22487261	-0.321778	1	15.5045	0.206116	2.81983	3
Gm5893	chr7	22555045	22638293	0.612404	3	26.2915	0.592787	2.80457	3
Arhgef1	chr7	22637759	23222756	0.286941	3	22.1655	0.798086	2.85299	3
Ceacam1	chr7	23232372	24180582	0.443042	3	23.9274	0.790842	3.80374	4
Cyp2a4	chr7	24178342	24704345	0.523667	3	23.3327	0.683863	4.72106	5
Cyp2g1	chr7	24704020	24714278	0.557932	3	26.157	0.881677	2.79302	3
Gm44879	chr7	75792961	75841401	-0.377654	2	18.828	0.964647	2.83163	3
Adamtsl3	chr7	80734276	81807516	0.212486	2	26.7142	0.776438	2.89538	3
Vmn2r67	chr7	83619877	84196762	-0.713088	0	13.6469	0.934862	2.295	3
