gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
MGP_FVBNJ_G0036267	chr1	23521965	23587385	-0.347675	2	14.0399	0.830677	1.78624	2
Gm19641	chr1	23886347	23927479	-0.386684	2	13.9841	0.957928	1.90146	2
MGP_FVBNJ_G0007542	chr1	25900896	25968059	0.213429	2	20.7877	0.992983	1.82513	2
Gm7858	chr1	26479747	26533082	0.364055	3	32.4077	0.990254	1.40914	2
Gm6473	chr1	27289455	27467043	-0.327911	1	18.3863	0.970469	1.83126	2
Gm23453	chr1	29904170	29910649	0.838193	4	37.2232	0.938328	1.36347	2
Dst	chr1	30718791	31006298	-0.241848	2	22.191	0.934224	2.88356	3
A930005N03Rik	chr1	30726282	31006298	-0.254467	2	21.0595	0.458289	1.91689	2
Gm37958	chr1	30726282	31006298	-0.254467	2	21.0595	0.458289	1.91689	2
Gm5266	chr1	30726282	31006298	-0.254467	2	21.0595	0.458289	1.91689	2
Gm28416	chr1	31008908	31025839	-0.279594	1	18.602	0.619142	1.90062	2
Gm37670	chr1	31426233	31548800	-0.201535	2	20.6956	0.803871	1.89717	2
Gm38027	chr1	31426233	31548800	-0.201535	2	20.6956	0.803871	1.89717	2
Mgat4a	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Cracdl	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
4930556I23Rik	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
4930470B04Rik	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Gm19863	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Tsga10	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Gm26805	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Lipt1	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Mitd1	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Mrpl30	chr1	34015399	35134927	0.27569	2	32.9403	0.118074	1.78921	2
Aff3	chr1	35134555	35438815	0.255563	4	31.408	0.66176	1.78112	2
Nms	chr1	35401543	36018458	-0.227601	2	22.4472	0.542887	1.984	2
Npas2	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
Rpl31	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
Tbc1d8	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
Gm37265	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
Gm24826	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
MGP_FVBNJ_G0038145	chr1	35811790	36038986	-0.227467	2	24.0897	0.100313	1.98006	2
Cnot11	chr1	36018468	36224146	-0.222393	2	23.9357	0.682823	1.97896	2
4930448I06Rik	chr1	37668474	37838139	-0.25847	1	20.7889	0.366992	1.97511	2
Gm5267	chr1	38617047	39300466	0.275043	4	32.6056	0.70751	1.70518	2
Mrps9	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gm23126	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gpr45	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
MGP_FVBNJ_G0007552	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Tgfbrap1	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gm28782	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
8430432A02Rik	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
AI597479	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Fhl2	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gm29040	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gm29610	chr1	39300476	39881189	0.371532	2	23.7884	0.733963	1.82411	2
Gulp1	chr1	41212227	41289345	0.437209	3	21.8378	0.727142	2.71287	3
C230029F24Rik	chr1	45801375	46196152	0.734332	4	32.2149	0.996459	0.812769	2
Gm8384	chr1	46507165	46630680	-0.486147	2	25.6712	0.803871	1.88099	2
Gm20118	chr1	47015858	47186485	0.229125	3	31.4899	0.419081	1.96781	2
MGP_FVBNJ_G0009302	chr1	47039147	47191664	0.332231	2	37.1015	0.980131	1.7833	2
Pms1	chr1	49744133	49909163	-0.510492	1	22.4276	0.612318	3.27328	4
Gtf3c3	chr1	50977018	51127680	0.329244	3	40.46	0.975867	3.78167	4
Pgap1	chr1	51126691	51189282	0.392412	3	40.7309	0.893769	1.84478	2
Aox4	chr1	54806179	55198427	0.350018	3	25.2807	0.945386	1.74813	2
Gm18802	chr1	55197757	55319427	0.238223	3	26.7827	0.993915	11.4424	13
Gm28803	chr1	55316623	55319427	0.463938	3	29.1123	0.937759	2.46515	3
Fam117b	chr1	56569892	56706620	0.338562	3	33.1866	0.990771	1.60133	2
Gm37531	chr1	56569892	56706620	0.338562	3	33.1866	0.990771	1.60133	2
Gm18829	chr1	56569892	56706620	0.338562	3	33.1866	0.990771	1.60133	2
Wdr12	chr1	56710482	56965891	0.340257	3	32.2289	0.93338	2.39951	3
Carf	chr1	56713251	56965891	0.298306	3	34.7131	0.992967	1.5196	2
Gm15464	chr1	56713251	56965891	0.298306	3	34.7131	0.992967	1.5196	2
Gm11577	chr1	57339958	57350513	0.479175	3	28.0345	0.803871	1.83941	2
Gm11606	chr1	59950685	60400643	-0.227281	2	19.4564	0.957412	1.94539	2
Adam23	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Gm22281	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Dytn	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Gm12748	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Mdh1b	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Fastkd2	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
4933402D24Rik	chr1	59978025	60964506	-0.200526	2	21.7343	0.195194	1.98851	2
Gm28923	chr1	62003193	62094234	-0.202116	2	18.6769	0.864444	1.94081	2
Gm28922	chr1	62003193	62094234	-0.202116	2	18.6769	0.864444	1.94081	2
Erbb4	chr1	64620192	66068244	0.295069	2	23.0653	0.895352	11.5536	12
Gm19335	chr1	64986907	65098864	0.232031	2	21.8496	0.827772	1.91332	2
Ikzf2	chr1	66067651	66382438	0.556612	5	26.1679	0.0763837	2.83905	3
Mir6352	chr1	73833521	74319043	0.289713	2	28.529	0.864444	1.88464	2
Gm28386	chr1	73833521	74319043	0.289713	2	28.529	0.864444	1.88464	2
Gm28385	chr1	73833521	74319043	0.289713	2	28.529	0.864444	1.88464	2
Acsl3	chr1	75095841	75214176	0.342968	2	30.5567	0.896064	3.72178	4
Utp14b	chr1	75095841	75212452	0.318363	2	28.2367	0.896064	2.91758	3
Gm29536	chr1	75472184	75743503	-0.242499	2	18.2555	0.823717	1.90591	2
Gm28058	chr1	76378681	76575463	-0.301908	2	18.4527	0.829803	1.86	2
Gm38339	chr1	76378681	76575463	-0.301908	2	18.4527	0.829803	1.86	2
Gm28066	chr1	77273276	77518051	-0.217861	2	18.8138	0.820361	1.84099	2
Col4a3	chr1	78915610	79275387	-0.262895	2	19.3353	0.637762	2.78007	3
MGP_FVBNJ_G0036273	chr1	78915610	78981991	-0.236938	2	19.6856	0.637762	1.85122	2
Gm7553	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Slc19a3	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Gm7539	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Krtap28-10	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
A030005K14Rik	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Krtap28-13	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Gm29518	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Ccl20	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Gm29519	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Daw1	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Gm6244	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
MGP_FVBNJ_G0036274	chr1	79363298	79675577	0.276336	2	32.5666	0.739012	1.69583	2
Gm37517	chr1	79675963	79854087	-0.244809	1	18.5621	0.734714	1.95956	2
Mir5126	chr1	81024417	81290246	-0.21035	2	21.4981	0.5582	1.98559	2
Trip12	chr1	81024417	81292747	-0.276564	2	19.5112	0.5582	2.81961	3
Gm38374	chr1	81081776	81292747	-0.32123	2	18.2799	0.2102	1.82805	2
Gm37738	chr1	81081776	81292747	-0.32123	2	18.2799	0.2102	1.82805	2
Fbxo36	chr1	81081776	81292747	-0.32123	2	18.2799	0.2102	1.82805	2
Slc16a14	chr1	81081776	81292747	-0.32123	2	18.2799	0.2102	1.82805	2
Gm28375	chr1	83387298	83491778	-0.214339	2	22.7167	0.600504	1.93954	2
Gm37447	chr1	83387298	83491778	-0.214339	2	22.7167	0.600504	1.93954	2
Akp-ps1	chr1	83387298	83491778	-0.214339	2	22.7167	0.600504	1.93954	2
Ugt1a5	chr1	84648639	84673018	0.225173	4	33.6349	0.955427	2.11654	3
Ugt1a2	chr1	84648639	84673018	0.225173	4	33.6349	0.955427	2.11654	3
Scly	chr1	87749029	88336992	-0.203208	2	23.9554	0.776233	1.98468	2
Gm17090	chr1	87749029	88336992	-0.203208	2	23.9554	0.776233	1.98468	2
Espnl	chr1	87749029	88336992	-0.203208	2	23.9554	0.776233	1.98468	2
Gm29100	chr1	88194943	88773927	-0.226268	2	23.2953	0.134048	1.97951	2
Twist2	chr1	88194943	88773927	-0.226268	2	23.2953	0.134048	1.97951	2
Gm29101	chr1	88194943	88773927	-0.226268	2	23.2953	0.134048	1.97951	2
Sned1	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Mir6901	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Mterf4	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Gm28535	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Gm7867	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Pask	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Ppp1r7	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Mir6902	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Mir6345	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Gm26446	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Ano7	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Hdlbp	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Gm17415	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Septin2	chr1	89686118	90342792	-0.270156	2	21.7103	0.775538	1.89088	2
Gal3st2b	chr1	90341469	90519184	-0.291549	1	17.9058	0.899728	9.95488	11
Gal3st2	chr1	90393295	90651430	-0.311641	1	18.0039	0.885812	7.41707	8
Gm7889	chr1	90448852	90482043	-0.251231	1	18.0041	0.956383	1.85907	2
Gm18666	chr1	90517861	90535133	-0.372599	1	16.5311	0.782999	3.61119	4
Neu4	chr1	90550259	90766711	-0.218627	2	21.4797	0.253645	1.98688	2
Pdcd1	chr1	90550259	90766711	-0.218627	2	21.4797	0.253645	1.98688	2
Gm7891	chr1	90659784	90773855	-0.314917	2	17.9504	0.334303	1.92494	2
1700063A18Rik	chr1	92509980	92714435	0.333025	3	26.9381	0.970469	1.78576	2
Gm26078	chr1	93247995	93533424	-0.235576	2	19.1171	0.192896	1.97579	2
Slco4c1	chr1	93247995	93533424	-0.235576	2	19.1171	0.192896	1.97579	2
Panct2	chr1	93247995	93533424	-0.235576	2	19.1171	0.192896	1.97579	2
Slco6b1	chr1	93247995	93533424	-0.235576	2	19.1171	0.192896	1.97579	2
Gm9499	chr1	93247995	93533424	-0.235576	2	19.1171	0.192896	1.97579	2
Gm7133	chr1	93647979	93934905	-0.239118	2	17.5176	0.999658	3.8847	4
Cntnap5b	chr1	96207979	97007588	-0.245166	1	18.884	0.25295	9.81042	10
Gm37877	chr1	96207979	96338672	-0.374472	1	16.9644	0.25295	1.95483	2
Gm19029	chr1	96432371	96797355	-0.225292	2	19.1801	0.0869565	1.97803	2
Gm23602	chr1	96432371	96797355	-0.225292	2	19.1801	0.0869565	1.97803	2
Gm18969	chr1	98141404	98353313	-0.239248	1	18.4912	0.585381	1.97316	2
Gm28188	chr1	98191284	98402303	-0.205199	2	19.6503	0.394102	1.98358	2
Gm28187	chr1	98191284	98402303	-0.205199	2	19.6503	0.394102	1.98358	2
Gm28623	chr1	98557352	98673310	-0.221669	2	18.652	0.18291	1.96758	2
Gm23036	chr1	98816024	98939045	-0.207106	2	18.9681	0.727142	1.98148	2
Gm53054	chr1	98868658	99173669	-0.211114	2	19.1194	0.320495	2.97791	3
Gm20281	chr1	98868658	99010423	-0.213426	2	19.3794	0.320495	1.98403	2
Gm22034	chr1	99318901	99403041	-0.262552	1	17.5283	0.687244	1.96511	2
Gm18447	chr1	100672865	101061061	-0.25886	1	18.4504	0.720609	1.96821	2
Cdh20	chr1	101313521	101584904	-0.202385	1	20.2898	0.993646	2.87607	3
Rnf152	chr1	101627180	101820660	-0.207758	2	21.5696	0.473929	2.96357	3
Gm17634	chr1	101727573	101820660	-0.217686	2	21.4013	0.626667	1.97036	2
Gm28403	chr1	101727573	101820660	-0.217686	2	21.4013	0.626667	1.97036	2
Pign	chr1	101852934	102131754	0.241597	2	23.606	0.40872	1.66619	2
Gm10193	chr1	102131764	103210947	-0.309358	2	20.5271	0.829739	1.93996	2
Tnfrsf11a	chr1	102131764	103210947	-0.309358	2	20.5271	0.829739	1.93996	2
Serpinb3a	chr1	103439334	103727018	0.266041	3	26.4958	0.95247	6.89401	8
Cdh19	chr1	107083772	107257131	0.307815	3	19.8694	0.684984	2.90068	3
Gm8204	chr1	109105134	109554005	-0.218775	2	19.8889	0.422827	1.9876	2
Gm28189	chr1	109288073	109608101	-0.297411	2	18.9941	0.0888959	1.97581	2
Gm17946	chr1	109722613	109846888	-0.243746	2	18.6256	0.561484	1.91288	2
Gm18181	chr1	109722613	109846888	-0.243746	2	18.6256	0.561484	1.91288	2
MGP_FVBNJ_G0038185	chr1	109855219	110079231	-0.27607	1	19.516	0.234318	1.98358	2
9330185C12Rik	chr1	110104124	110258810	-0.237817	2	20.129	0.693792	2.96788	3
Gm3922	chr1	111683277	111742688	0.239722	5	38.7449	0.722978	1.56017	2
Gm43551	chr1	111683277	111742688	0.239722	5	38.7449	0.722978	1.56017	2
Cntnap5a	chr1	111770140	112812144	-0.283021	2	18.4331	0.970044	7.72612	8
Gm13232	chr1	112306945	112553068	-0.369574	1	16.0435	0.757705	1.81386	2
Gm13160	chr1	112306945	112553068	-0.369574	1	16.0435	0.757705	1.81386	2
Gm13167	chr1	112306945	112553068	-0.369574	1	16.0435	0.757705	1.81386	2
Gm28263	chr1	112627541	112812144	-0.286453	1	18.0652	0.124201	1.96132	2
Gm21940	chr1	112946642	112982211	0.430072	7	39.6377	0.436842	1.40365	2
Gm17777	chr1	113494924	113541636	-0.284996	1	17.641	0.711963	1.95	2
Gm24030	chr1	113562760	113704842	-0.258136	2	18.1045	0.460288	1.93039	2
Gm28361	chr1	113562760	113704842	-0.258136	2	18.1045	0.460288	1.93039	2
Gm28363	chr1	113830612	113923555	-0.231311	1	18.5827	0.486343	1.95713	2
Gm18182	chr1	113830612	113923555	-0.231311	1	18.5827	0.486343	1.95713	2
Gm7200	chr1	114355295	114719997	-0.23761	2	19.1998	0.885812	1.91803	2
Clasp1	chr1	114717894	114744071	-0.241738	1	19.0359	0.920266	1.90402	2
Gm29658	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Gm3551	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Gm28209	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Tmem177	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Cfap221	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Gm17973	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Sctr	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Tmem37	chr1	115966875	116856988	-0.254371	1	22.3215	0.315977	1.9851	2
Dbi	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
3110009E18Rik	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
Steap3	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
C1ql2	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
1700012E03Rik	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
Marco	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
En1	chr1	116261833	116874030	-0.229225	1	22.3968	0.0921629	1.97806	2
Gm29346	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Gm29345	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Gm29344	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Gm29348	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Gm29347	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Gm37043	chr1	116874040	117169670	-0.238247	2	20.7123	0.517678	1.97709	2
Celrr	chr1	117169680	117448484	-0.21203	2	22.455	0.411279	1.97906	2
Gm29359	chr1	117169680	117448484	-0.21203	2	22.455	0.411279	1.97906	2
Gm15394	chr1	118046116	118165500	-0.220414	2	19.9541	0.612541	1.97217	2
Gm8392	chr1	118171534	118660003	-0.249918	1	19.8986	0.361592	1.98071	2
Gm28590	chr1	118171534	118660003	-0.249918	1	19.8986	0.361592	1.98071	2
Gm24547	chr1	118395031	118699320	-0.219681	2	20.3646	0.280571	1.97675	2
Gm36982	chr1	118395031	118699320	-0.219681	2	20.3646	0.280571	1.97675	2
Gm25771	chr1	118660241	118730741	-0.262696	2	18.6972	0.711963	1.94202	2
Gm38073	chr1	120518949	120831569	-0.224596	1	19.9006	0.391059	1.98086	2
Gm25578	chr1	120518949	120831569	-0.224596	1	19.9006	0.391059	1.98086	2
MGP_FVBNJ_G0004900	chr1	120518949	121037337	-0.232052	1	19.7993	0.391059	6.91445	7
Gm28299	chr1	120518949	120831569	-0.224596	1	19.9006	0.391059	1.98086	2
Gm37717	chr1	120954317	121037337	-0.247378	2	19.6586	0.637762	1.97162	2
1700121L03Rik	chr1	121235335	121483480	-0.24692	2	20.4843	0.562299	1.98041	2
Gm5261	chr1	123018829	123702090	-0.203081	2	22.8449	0.295589	1.9912	2
Mgat5	chr1	123018829	123797787	-0.210572	2	23.0918	0.295589	2.98214	3
Gm37772	chr1	123018829	123702090	-0.203081	2	22.8449	0.295589	1.9912	2
Gm37510	chr1	123018829	123702090	-0.203081	2	22.8449	0.295589	1.9912	2
Gm23370	chr1	123018829	123702090	-0.203081	2	22.8449	0.295589	1.9912	2
MGP_FVBNJ_G0036579	chr1	123018829	123702090	-0.203081	2	22.8449	0.295589	1.9912	2
Gm23734	chr1	123474567	123797787	-0.224575	2	23.2967	0.0810771	1.98674	2
Gm38301	chr1	123474567	123797787	-0.224575	2	23.2967	0.0810771	1.98674	2
Gm29428	chr1	126240798	126304563	-0.202284	1	19.3645	0.810127	1.95485	2
Cd55b	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Cd55	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Avpr1b	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Gm8532	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Ctse	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Rab7b	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Slc26a9	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Pm20d1	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Slc41a1	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Rab29	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Gm38067	chr1	127633677	127952600	-0.212751	2	21.342	0.680259	1.84563	2
Elk4	chr1	128030379	128080942	-0.328504	2	20.4069	0.938537	1.87177	2
MGP_FVBNJ_G0036945	chr1	128087518	128560000	-0.200348	2	24.2327	0.293155	1.98973	2
Gm37120	chr1	128087518	128560000	-0.200348	2	24.2327	0.293155	1.98973	2
Cdk18	chr1	128087518	128560000	-0.200348	2	24.2327	0.293155	1.98973	2
Gm29629	chr1	128087518	128560000	-0.200348	2	24.2327	0.293155	1.98973	2
Lemd1	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Mir135b	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
MGP_FVBNJ_G0004908	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Gm10188	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Gm29630	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Gm7241	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Klhdc8a	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Nuak2	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
F730311O21Rik	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Tmcc2	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Gm15849	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Dstyk	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
6030442K20Rik	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Rbbp5	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Tmem81	chr1	128187310	128802809	-0.210606	2	24.1001	0.191337	1.99215	2
Cntn2	chr1	128187310	129046031	-0.235511	2	23.6033	0.191337	2.98659	3
Nfasc	chr1	128560506	129046031	-0.26291	2	23.2075	0.0417831	1.99023	2
Gm10538	chr1	128560506	129046031	-0.26291	2	23.2075	0.0417831	1.99023	2
Gm22609	chr1	128802819	129047506	-0.375749	1	19.5588	0.0301886	1.92674	2
Lrrn2	chr1	128802819	129047506	-0.375749	1	19.5588	0.0301886	1.92674	2
MGP_FVBNJ_G0007600	chr1	128802819	129047506	-0.375749	1	19.5588	0.0301886	1.92674	2
Gm38308	chr1	128802819	129047506	-0.375749	1	19.5588	0.0301886	1.92674	2
Etnk2	chr1	129441171	129714130	0.329628	2	36.3351	0.966633	1.69064	2
Sox13	chr1	129441171	129714130	0.329628	2	36.3351	0.966633	1.69064	2
Zc3h11a	chr1	129713506	130046350	0.4669	4	36.4535	0.756574	2.95585	4
MGP_FVBNJ_G0016337	chr1	129713506	130046350	0.4669	4	36.4535	0.756574	2.95585	4
Tmem183a	chr1	130459690	130861367	-0.210114	2	23.6268	0.573866	1.98732	2
